add-none,4,1000000,8000000,60551000,7,-403363
add-m,1,100,200,90000,450,0
add-m,1,1000,2000,122000,61,0
add-m,1,10000,20000,483000,24,0
add-m,1,100000,200000,4126000,20,0
add-m,2,100,400,122000,305,0
add-m,2,1000,4000,214000,53,0
add-m,2,10000,40000,1683000,42,0
add-m,2,100000,400000,16418000,41,0
add-m,4,100,800,167000,208,0
add-m,4,1000,8000,570000,71,0
add-m,4,10000,80000,4457000,55,0
add-m,4,100000,800000,44588000,55,0
add-m,8,100,1600,227000,141,0
add-m,8,1000,16000,1124000,70,0
add-m,8,10000,160000,12079000,75,0
add-m,8,100000,1600000,114676000,71,0
add-m,12,100,2400,279000,116,0
add-m,12,1000,24000,1832000,76,0
add-m,12,10000,240000,16945000,70,0
add-m,12,100000,2400000,176745000,73,0
add-s,1,100,200,84000,420,0
add-s,1,1000,2000,90000,45,0
add-s,1,10000,20000,260000,13,0
add-s,1,100000,200000,1724000,8,0
add-s,2,100,400,97000,242,0
add-s,2,1000,4000,201000,50,0
add-s,2,10000,40000,2451000,61,0
add-s,2,100000,400000,18349000,45,0
add-s,4,100,800,137000,171,0
add-s,4,1000,8000,872000,109,0
add-s,4,10000,80000,8131000,101,0
add-s,4,100000,800000,-892162000,-1115,0
add-s,8,100,1600,169000,105,0
add-s,8,1000,16000,1975000,123,0
add-s,8,10000,160000,36896000,230,0
add-s,8,100000,1600000,337124000,210,0
add-s,12,100,2400,239000,99,0
add-s,12,1000,24000,3024000,126,0
add-s,12,10000,240000,61190000,254,0
add-s,12,100000,2400000,-98930000,-41,0
add-none,2,100,400,100000,250,0
add-none,2,1000,4000,101000,25,0
add-none,2,10000,40000,341000,8,109
add-none,2,100000,400000,3537000,8,7526
add-none,4,100,800,111000,138,62
add-none,4,1000,8000,139000,17,883
add-none,4,10000,80000,691000,8,7116
add-none,4,100000,800000,6081000,7,10387
add-none,8,100,1600,171000,106,38
add-none,8,1000,16000,194000,12,1300
add-none,8,10000,160000,1290000,8,826
add-none,8,100000,1600000,12758000,7,-60831
add-none,12,100,2400,200000,83,69
add-none,12,1000,24000,409000,17,-189
add-none,12,10000,240000,1949000,8,-5904
add-none,12,100000,2400000,19711000,8,-5526
add-yield-none,2,10,40,118000,2950,0
add-yield-none,2,20,80,121000,1512,0
add-yield-none,2,40,160,119000,743,0
