list-none-m,1,1000,4,3000,1392314,464,38
list-none-m,1,1000,8,3000,952833,317,38
list-none-m,1,1000,16,3000,686198,228,39
list-none-m,2,1000,4,6000,6513332,1085,900
list-none-m,2,1000,8,6000,3636434,606,387
list-none-m,2,1000,16,6000,2147556,357,211
list-none-m,4,1000,4,12000,20095486,1674,4591
list-none-m,4,1000,8,12000,12768178,1064,1961
list-none-m,4,1000,16,12000,8393723,699,943
list-none-m,8,1000,4,24000,71664435,2986,22171
list-none-m,8,1000,8,24000,29478125,1228,7262
list-none-m,8,1000,16,24000,15841945,660,2698
list-none-m,12,1000,4,36000,154718764,4297,56517
list-none-m,12,1000,8,36000,58573172,1627,17395
list-none-m,12,1000,16,36000,25829439,717,5969
list-none-s,1,1000,4,3000,1363812,454,34
list-none-s,1,1000,8,3000,965457,321,34
list-none-s,1,1000,16,3000,1209631,403,50
list-none-s,2,1000,4,6000,8049357,1341,1179
list-none-s,2,1000,8,6000,5810683,968,1212
list-none-s,2,1000,16,6000,2797482,466,435
list-none-s,4,1000,4,12000,22648603,1887,3953
list-none-s,4,1000,8,12000,8187229,682,1089
list-none-s,4,1000,16,12000,6463632,538,847
list-none-s,8,1000,4,24000,51302870,2137,12836
list-none-s,8,1000,8,24000,21672513,903,3910
list-none-s,8,1000,16,24000,10866918,452,1458
list-none-s,12,1000,4,36000,143430042,3984,45742
list-none-s,12,1000,8,36000,96478055,2679,34751
list-none-s,12,1000,16,36000,36850927,1023,10536
list-none-m,1,1000,1,3000,6957366,2319,52
list-none-m,2,1000,1,6000,22017518,3669,3913
list-none-m,4,1000,1,12000,141083295,11756,50548
list-none-m,8,1000,1,24000,584934523,24372,233493
list-none-m,12,1000,1,36000,1519266076,42201,667673
list-none-m,16,1000,1,48000,2264005816,47166,838316
list-none-m,24,1000,1,72000,3415811915,47441,1174600
list-none-s,1,1000,1,3000,18315734,6105,353
list-none-s,2,1000,1,6000,41242668,6873,3362
list-none-s,4,1000,1,12000,167347046,13945,40842
list-none-s,8,1000,1,24000,1220947864,50872,502595
list-none-s,12,1000,1,36000,2350021965,65278,838861
list-none-s,16,1000,1,48000,5813504447,121114,2494567
list-none-s,24,1000,1,72000,7266204125,100919,2934909
list-id-none,1,1,4,3,175155,58385,0
list-id-none,1,2,4,6,155578,25929,0
list-id-none,1,4,4,12,163965,13663,0
list-id-none,1,8,4,24,168240,7010,0
list-id-none,1,16,4,48,173735,3619,0
list-id-none,4,1,4,12,279082,23256,0
list-id-none,4,2,4,24,291447,12143,0
list-id-none,4,4,4,48,269734,5619,0
list-id-none,8,1,4,24,555084,23128,0
list-id-none,8,2,4,48,404921,8435,0
list-id-none,8,4,4,96,446864,4654,0
list-id-none,8,16,4,384,471106,1226,0
list-id-none,12,1,4,36,601783,16716,0
list-id-none,12,2,4,72,498370,6921,0
list-id-none,12,4,4,144,503904,3499,0
list-id-none,12,8,4,288,479580,1665,0
list-id-none,12,16,4,576,547825,951,0
list-id-none,16,1,4,48,681176,14191,0
list-id-none,16,2,4,96,650475,6775,0
list-id-none,16,4,4,192,612739,3191,0
list-id-none,16,8,4,384,578611,1506,0
list-id-m,1,10,4,30,203634,6787,127
list-id-m,1,20,4,60,157434,2623,70
list-id-m,1,40,4,120,188000,1566,51
list-id-m,1,80,4,240,239138,996,44
list-id-m,4,10,4,120,272885,2274,1268
list-id-m,4,20,4,240,355187,1479,1768
list-id-m,4,40,4,480,461751,961,1510
list-id-m,4,80,4,960,1528272,1591,4360
list-id-m,8,10,4,240,672000,2800,2541
list-id-m,8,20,4,480,689566,1436,2446
list-id-m,8,40,4,960,1703048,1774,11402
list-id-m,8,80,4,1920,3274689,1705,11889
list-id-m,12,10,4,360,1654889,4596,8268
list-id-m,12,20,4,720,1508503,2095,16946
list-id-m,12,40,4,1440,2428312,1686,17826
list-id-m,12,80,4,2880,4596807,1596,18952
list-id-m,16,10,4,480,1130831,2355,10388
list-id-m,16,20,4,960,2021421,2105,25343
list-id-m,16,40,4,1920,4408015,2295,36846
list-id-m,16,80,4,3840,10105607,2631,45982
list-id-m,1,5,4,15,301672,20111,275
list-id-m,1,15,4,45,445235,9894,293
list-id-m,1,35,4,105,449618,4282,602
list-id-m,1,75,4,225,319609,1420,61
list-id-m,4,5,4,60,293199,4886,201
list-id-m,4,15,4,180,205958,1144,370
list-id-m,4,35,4,420,404460,963,1566
list-id-m,4,75,4,900,895043,994,2145
list-id-m,8,5,4,120,388719,3239,94
list-id-m,8,15,4,360,521176,1447,5447
list-id-m,8,35,4,840,815203,970,4502
list-id-m,8,75,4,1800,1949612,1083,7232
list-id-m,12,5,4,180,526042,2922,94
list-id-m,12,15,4,540,693321,1283,4001
list-id-m,12,35,4,1260,1345386,1067,10073
list-id-m,12,75,4,2700,3136222,1161,13896
list-id-m,16,5,4,240,731212,3046,94
list-id-m,16,15,4,720,725823,1008,2106
list-id-m,16,35,4,1680,2181024,1298,18779
list-id-m,16,75,4,3600,4721071,1311,22751
list-id-s,1,10,4,30,162234,5407,42
list-id-s,1,20,4,60,164855,2747,41
list-id-s,1,40,4,120,195284,1627,38
list-id-s,1,80,4,240,244666,1019,35
list-id-s,4,10,4,120,220320,1836,74
list-id-s,4,20,4,240,231015,962,660
list-id-s,4,40,4,480,258779,539,536
list-id-s,4,80,4,960,702637,731,1285
list-id-s,8,10,4,240,352316,1467,132
list-id-s,8,20,4,480,368984,768,370
list-id-s,8,40,4,960,806547,840,4019
list-id-s,8,80,4,1920,1523658,793,5161
list-id-s,12,10,4,360,565456,1570,44
list-id-s,12,20,4,720,509161,707,272
list-id-s,12,40,4,1440,1856043,1288,13464
list-id-s,12,80,4,2880,3043996,1056,12381
list-id-s,16,10,4,480,803208,1673,101
list-id-s,16,20,4,960,947729,987,2938
list-id-s,16,40,4,1920,1122448,584,2644
list-id-s,16,80,4,3840,13869433,3611,69134
list-none-m,1,1000,4,3000,1872554,624,89
list-none-m,1,1000,8,3000,955542,318,38
list-none-m,1,1000,16,3000,694542,231,39
list-none-m,2,1000,4,6000,10565284,1760,1545
list-none-m,2,1000,8,6000,6559064,1093,840
list-none-m,2,1000,16,6000,2344411,390,238
list-none-m,4,1000,4,12000,24983075,2081,6084
list-none-m,4,1000,8,12000,14573072,1214,2534
list-none-m,4,1000,16,12000,7836925,653,999
list-none-m,8,1000,4,24000,86801150,3616,29921
list-none-m,8,1000,8,24000,34430933,1434,9234
list-none-m,8,1000,16,24000,19086704,795,4646
list-none-m,12,1000,4,36000,179337194,4981,69638
list-none-m,12,1000,8,36000,62904428,1747,19417
